gene,scores,logfoldchanges,pvals,pvals_adj,abs_lfc,aki_biomarker
RP5-857K21.4,0.0672603,0.8296127,0.9463744806470986,1.0,0.8296127,False
RP11-10A14.9,0.0672603,0.9238262,0.9463744806470986,1.0,0.9238262,False
XCL1,0.06723067,0.74831915,0.9463980679027406,1.0,0.74831915,False
CPXM1,0.06719681,0.36203223,0.9464250248238638,1.0,0.36203223,False
AC006116.17,0.06719258,-0.48294473,0.9464283944433176,1.0,0.48294473,False
RP11-252A24.3,0.067188345,-0.8064773,0.9464317640637299,1.0,0.8064773,False
AC016700.5,0.06704231,-0.09834644,0.9465480165543718,1.0,0.09834644,False
KEAP1,0.066437036,-0.16149673,0.947029886811966,1.0,0.16149673,False
SPATA24,0.06627831,-0.04267235,0.947156254604262,1.0,0.04267235,False
AC006227.1,0.065742865,0.39560753,0.9475825450780596,1.0,0.39560753,False
PRSS12,0.065484665,1.1597967,0.9477881134436618,1.0,1.1597967,False
ICOS,0.06548043,1.2138631,0.9477914834458625,1.0,1.2138631,False
IL12RB1,0.0654508,0.9001545,0.9478150734874178,1.0,0.9001545,False
CPN1,0.065433875,0.7303224,0.9478285535317045,1.0,0.7303224,False
AP003068.9,0.06542541,0.86767685,0.9478352935594483,1.0,0.86767685,False
ATP5J2-PTCD1,0.065408476,0.6907632,0.9478487736261345,1.0,0.6907632,False
ABCD2,0.065408476,0.26553068,0.9478487736261345,1.0,0.26553068,False
ASPRV1,0.06537038,-0.69753623,0.9478791038307539,1.0,0.69753623,False
RP1-10C16.1,0.06537038,-0.18436645,0.9478791038307539,1.0,0.18436645,False
GCM1,0.06528361,0.014441388,0.9479481895787177,1.0,0.014441388,False
CD3G,0.06522859,0.065926865,0.9479920002558463,1.0,0.065926865,False
BDH1,0.06520954,-0.107019156,0.9480071655268805,1.0,0.107019156,False
TMEM232,0.065038115,0.086927176,0.9481436538131633,1.0,0.086927176,False
CTD-2574D22.7,0.065008484,-0.15654251,0.9481672445355133,1.0,0.15654251,False
TPCN2,0.06422966,-0.24591339,0.9487873597557264,1.0,0.24591339,False
CD160,0.063679405,1.199553,0.9492255033626845,1.0,1.199553,False
ZC3H12D,0.06367094,0.61291504,0.9492322441538149,1.0,0.61291504,False
SNTG1,0.063628614,0.60029775,0.9492659481639569,1.0,0.60029775,False
RP11-602N24.3,0.06361592,0.74728197,0.9492760593847029,1.0,0.74728197,False
TAT-AS1,0.06359052,0.6396348,0.9492962818506971,1.0,0.6396348,False
RP11-396C23.2,0.063582055,0.2230411,0.9493030226799534,1.0,0.2230411,False
CXCR6,0.063573584,0.22771119,0.9493097635128379,1.0,0.22771119,False
RP6-159A1.4,0.06356935,0.20206651,0.9493131339306405,1.0,0.20206651,False
RP11-442N24__B.1,0.06356089,-0.010403989,0.9493198747689665,1.0,0.010403989,False
CTD-2588C8.8,0.063552424,0.07678508,0.9493266156109196,1.0,0.07678508,False
HGH1,0.06353126,0.070107706,0.9493434677316674,1.0,0.070107706,False
DDX56,0.06310799,-0.13207956,0.9496805148949375,1.0,0.13207956,False
C11orf72,0.06305296,-0.68000734,0.9497243316887367,1.0,0.68000734,False
KIAA0825,0.062993705,-0.26877105,0.9497715191751467,1.0,0.26877105,False
CTB-179K24.3,0.06277783,-0.45627418,0.9499434179354456,1.0,0.45627418,False
LRRC4,0.06263392,-0.18187569,0.9500580184036693,1.0,0.18187569,False
NAA10,0.062299535,-0.17584306,0.9503242999467187,1.0,0.17584306,False
FITM1,0.06183605,0.99187803,0.95069339555617,1.0,0.99187803,False
RP1-30M3.6,0.061827585,0.9317473,0.9507001371271006,1.0,0.9317473,False
PUS3,0.061819118,-0.36283627,0.9507068787015597,1.0,0.36283627,False
LINC00535,0.061819118,0.80817777,0.9507068787015597,1.0,0.80817777,False
RP11-513M16.7,0.061814886,0.75360334,0.9507102494901122,1.0,0.75360334,False
LINC01063,0.061797954,0.32904977,0.9507237326531415,1.0,0.32904977,False
RP5-856G1.1,0.061797954,0.8131346,0.9507237326531415,1.0,0.8131346,False
MTMR8,0.06177679,0.5077295,0.9507405866267661,1.0,0.5077295,False
RP11-692D12.1,0.061755627,0.4807549,0.950757440622426,1.0,0.4807549,False
